Sr. No.,Title,Address,Phone,Nearest Police Station,Latitude,Longitude,Image,Pincode
1,Cyber Police Station Vishrambag,204 National Highway Sangli - Miraj Rd Saraswati Nagar Vishrambag Sangli Maharashtra 416416 India,91-0233-2672200,"Vishrambag police station, Sangli",16.85065,74.59458,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRhkm3H61Aftv7pfrD9Qgv0kED0tg5xfKgo8dGYwf5iKTlrBm83,416415
2,Sangli Rural Police Station,VH58+MWF Rajwada Vasahat Khanbhag Sangli Sangli Miraj Kupwad Maharashtra 416416 India,91-0233-2373252,"Vishrambag police station, Sangli",16.86008,74.56729,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSXld7CKk6u7at3azGcP4yvklcLNt5yLBbpIszoIIRH--hng2D-,416416
3,Atpadi Police Station,CWJR+R2F MH SH 153 Atpadi Maharashtra 415301 India,91-23243-220221,Kavathe Mahankal Police Station,17.43272,74.94001,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,415301
4,Sangli City Police Station,VH67+5X6 NH166 Ganapati Peth Sangli Sangli Miraj Kupwad Maharashtra 416416 India,91-0233-2373033,Sangli Rural Police Station,16.86127,74.56466,https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/20/Pictures/h-t-aniket-kothale-s-story_cbe54846-ce08-11e7-ac2e-6fc61cbabe91.jpg,416416
5,Vishrambag Police Station,"RHXW+J6X oppo. ganesh nashta center chowk, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416, India",91-0233-2670033,Sangli City,16.84993,74.59538,"https://static.langimg.com/photo/imgsize-50700,msid-102468749/maharashtra-times.jpg",416415
6,Miraj City Police Station,"F54V+V9V, Vithal Nagar, Sindhi Colony, Gondia, Maharashtra 441601, India",91-0233-2223333,"Mahatma gandhi chowk, police station. ",21.45806,80.19343,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416410
7,Sanjaynagar Police Station,"Play Ground, Near ITI College, Chintamani Nagar, Sangli, Maharashtra 416416",91-0233-2313456,"Vishrambuag police station, Sangli",16.87265,74.58528,"https://static.langimg.com/photo/imgsize-105107,msid-79622828/maharashtra-times.jpg",416416
8,Mahtma Gandhi Chouk Police Station,"RJRP+CXP, Old Miraj Rd, Chandanwadi, Miraj, Maharashtra 416410, India",91-0233-2211633,Miraj City Police Station,16.84162,74.63744,https://nis-gs.pix.in/396514/public-posts-thumbnail/2023/03/07/14/sp-1462047162-trkzn4-thumbnail.jpg,416416
9,Miraj Rural Police Station,"RMV2+554, Near SSVSS Institute, Maji Sainik Vasahat, Miraj, Maharashtra 416410, India",91-0233-2232133,Miraj City Police Station,16.84366,74.6504,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416410
10,Midc Kupwad Police Station,"Trimurti Engineering Tools Pvt Ltd., 66, Kupwad MIDC Rd, MIDC Kupwad, Sangli, Maharashtra 416436, India",91-0233-2644333 ,Mahtma Gandhi Chouk Police Station,16.87467,74.6307,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416436
11,Tasgaon Police Station,"Bapu Wadi, near Shivaji Statue, Bapu Wadi, Tasgaon, Maharashtra 416312, India",91-02346-240100,Bhilwadi Police Station,17.0377,74.60707,https://i0.wp.com/policenama.com/wp-content/uploads/2023/03/Tasgaon-Police-Station.webp?fit=696%2C398&ssl=1,416312
12,Vita Police Station,"7GCQ+VPX, Sangola - Vita Rd, Advi Peth, Vita, Maharashtra 415311, India",91-0233-2232133,Atpadi Police Station,17.03762,74.60699,https://images.tv9marathi.com/wp-content/uploads/2022/08/23141925/Vita-Crime.jpg,415311
13,Kadegaon Police Station,"78WH+GJF, Karad Vita Rd, Kadegaon, Maharashtra 415304, India",91-02347-242233,Vita Police Station,17.29792,74.32876,https://nis-gs.pix.in/396514/public-posts-thumbnail/2023/11/20/8/sp-617585844-eyjm0r-thumbnail.jpg,415304
